id,number,root_word,transliteration,pronunciation,tvm,entry
13475,G4723,&#963;&#964;&#949;&#953;&#769;&#961;&#959;&#962;,steiros,sti'-ros,,"A contraction from G4731 (as <i>stiff</i>  and <i>unnatural</i>); "" sterile"" : - barren."
13476,G4724,&#963;&#964;&#949;&#769;&#955;&#955;&#969;,stello&#772;,stel'-lo,,"Probably strengthened from the base of G2476; properly to <i>set</i>  fast ("" stall"" ), that is, (figuratively) to <i>repress</i>  (reflexively <i>abstain</i>  from associating with): - avoid, withdraw self."
13477,G4725,&#963;&#964;&#949;&#769;&#956;&#956;&#945;,stemma,stem'-mah,,From the base of G4735; a <i>wreath</i>  for show: - garland.
13478,G4726,&#963;&#964;&#949;&#957;&#945;&#947;&#956;&#959;&#769;&#962;,stenagmos,sten-ag-mos',,From G4727; a <i>sigh:</i>  - groaning.
13479,G4727,&#963;&#964;&#949;&#957;&#945;&#769;&#950;&#969;,stenazo&#772;,sten-ad'-zo,,"From G4728; to <i>make</i>  (intransitively <i>be</i>) <i>in straits</i>, that is, (by implication) to <i>sigh, murmur, pray</i>  inaudibly: - with grief, groan, grudge, sigh."
13480,G4728,&#963;&#964;&#949;&#957;&#959;&#769;&#962;,stenos,sten-os',,Probably from the base of G2476; <i>narrow</i>  (from obstacles <i>standing</i>  close about): - strait.
13481,G4729,&#963;&#964;&#949;&#957;&#959;&#967;&#969;&#961;&#949;&#769;&#969;,stenocho&#772;reo&#772;,sten-okh-o-reh'-o,,"From the same as G4730; to <i>hem</i>  in closely, that is, (figuratively) <i>cramp:</i>  - distress, straiten."
13482,G4730,&#963;&#964;&#949;&#957;&#959;&#967;&#969;&#961;&#953;&#769;&#945;,stenocho&#772;ria,sten-okh-o-ree'-ah,,"From a compound of G4728 and G5561; <i>narrowness of room</i>, that is, (figuratively) <i>calamity:</i>  - anguish, distress."
13483,G4731,&#963;&#964;&#949;&#961;&#949;&#959;&#769;&#962;,stereos,ster-eh-os',,"From G2476; <i>stiff</i>, that is, <i>solid, stable</i>  (literally or figuratively): - stedfast, strong, sure."
13484,G4732,&#963;&#964;&#949;&#961;&#949;&#959;&#769;&#969;,stereoo&#772;,ster-eh-o'-o,,"From G4731; to <i>solidify</i>, that is, <i>confirm</i>  (literally or figuratively): - establish, receive strength, make strong."
13485,G4733,&#963;&#964;&#949;&#961;&#949;&#769;&#969;&#956;&#945;,stereo&#772;ma,ster-eh'-o-mah,,"From G4732; something <i>established</i>, that is, (abstractly) <i>confirmation</i>  (<i>stability</i>): - stedfastness."
13486,G4734,&#931;&#964;&#949;&#966;&#945;&#957;&#945;&#834;&#962;,Stephanas,stef-an-as',,"Probably contraction for &#963;&#964;&#949;&#966;&#945;&#957;&#969;&#964;&#959;&#769;&#962; stephano&#772;tos (<i>crowned</i> ; from G4737); <i>Stephanas</i>, a Christian: - Stephanas."
13487,G4735,&#963;&#964;&#949;&#769;&#966;&#945;&#957;&#959;&#962;,stephanos,stef'-an-os,,"From an apparently primary "" stepho""  (to <i>twine</i>  or <i>wreathe</i>); a <i>chaplet</i>  (as a badge of royalty, a prize in the public games or a symbol of honor generally; but more conspicuous and elaborate than the simple <i>fillet</i>, G1238), literally or figuratively: - crown."
13488,G4736,&#931;&#964;&#949;&#769;&#966;&#945;&#957;&#959;&#962;,Stephanos,stef'-an-os,,"The same as G4735; <i>Stephanus</i>, a Christian: - Stephen."
13489,G4737,&#963;&#964;&#949;&#966;&#945;&#957;&#959;&#769;&#969;,stephanoo&#772;,stef-an-o'-o,,From G4735; to <i>adorn with</i>  an honorary <i>wreath</i>  (literally or figuratively): - crown.
13490,G4738,&#963;&#964;&#951;&#834;&#952;&#959;&#962;,ste&#772;thos,stay'-thos,,"From G2476 (as <i>standing</i>  prominently); the (entire external) <i>bosom</i>, that is, <i>chest:</i>  - breast."
13491,G4739,&#963;&#964;&#951;&#769;&#954;&#969;,ste&#772;ko&#772;,stay'-ko,,"From the perfect tense of G2476; to <i>be stationary</i>, that is, (figuratively) to <i>persevere:</i>  - stand (fast)."
13492,G4740,&#963;&#964;&#951;&#961;&#953;&#947;&#956;&#959;&#769;&#962;,ste&#772;rigmos,stay-rig-mos',,From G4741; <i>stability</i>  (figuratively): - stedfastness
13493,G4741,&#963;&#964;&#951;&#961;&#953;&#769;&#950;&#969;,ste&#772;rizo&#772;,stay-rid'-zo,,"From a presumed derivative of G2476 (like G4731); to <i>set fast</i>, that is, (literally) to <i>turn resolutely</i>  in a certain direction, or (figuratively) to <i>confirm:</i>  - fix, (e-) stablish, stedfastly set, strengthen."
13494,G4742,&#963;&#964;&#953;&#769;&#947;&#956;&#945;,stigma,stig'-mah,,"From a primary word &#963;&#964;&#953;&#769;&#950;&#969; stizo&#772; (to "" stick"", that is, <i>prick</i>); a <i>mark</i>  incised or punched (for recognition of ownership), that is, (figuratively) <i>scar</i>  of service: - mark."
13495,G4743,&#963;&#964;&#953;&#947;&#956;&#951;&#769;,stigme&#772;,stig-may',,"Feminine of G4742; a <i>point</i>  of <i>time</i>, that is, an <i>instant:</i>  - moment."
13496,G4744,&#963;&#964;&#953;&#769;&#955;&#946;&#969;,stilbo&#772;,stil'-bo,,"Apparently a primary verb; to <i>gleam</i>, that is, <i>flash</i>  intensely: - shining."
13497,G4745,&#963;&#964;&#959;&#945;&#769;,stoa,sto-ah',,Probably from G2476; a <i>colonnade</i>  or interior <i>piazza:</i>  - porch.
13498,G4746,&#963;&#964;&#959;&#953;&#946;&#945;&#769;&#962;,stoibas,stoy-bas',,"From a primary word &#963;&#964;&#949;&#953;&#769;&#946;&#969; steibo&#772; (to "" step""  or "" stamp"" ); a <i>spread</i>  (as if <i>tramped</i>  flat) of loose materials for a couch, that is, (by implication) a <i>bough</i>  of a tree so employed: - branch."
13499,G4747,&#963;&#964;&#959;&#953;&#967;&#949;&#953;&#834;&#959;&#957;,stoicheion,stoy-khi'-on,,"Neuter of a presumed derivative of the base of G4748; something <i>orderly</i>  in arrangement, that is, (by implication) a <i>serial</i>  (<i>basal, fundamental, initial</i>) constituent (literally), proposition (figuratively): - element, principle, rudiment."
13500,G4748,&#963;&#964;&#959;&#953;&#967;&#949;&#769;&#969;,stoicheo&#772;,stoy-kheh'-o,,"From a derivative of &#963;&#964;&#949;&#953;&#769;&#967;&#969; steicho&#772;&#772; (to <i>range</i>  in regular line); to <i>march</i>  in (military) rank (<i>keep step</i>), that is, (figuratively) to <i>conform</i>  to virtue and piety: - walk (orderly)."
13501,G4749,&#963;&#964;&#959;&#955;&#951;&#769;,stole&#772;,stol-ay',,"From G4724; <i>equipment</i>, that is, (specifically) a "" stole""  or long fitting <i>gown</i>  (as a mark of dignity): - long clothing (garment), (long) robe."
13502,G4750,&#963;&#964;&#959;&#769;&#956;&#945;,stoma,stom'-a,,"Probably stregthened from a presumed derivative of the base of G5114; the <i>mouth</i>  (as if a <i>gash</i>  in the face); by implication <i>language</i>  (and its relations); figuratively an <i>opening</i>  (in the earth); specifically the <i>front</i>  or <i>edge</i>  (of a weapon): - edge, face, mouth."
13503,G4751,&#963;&#964;&#959;&#769;&#956;&#945;&#967;&#959;&#962;,stomachos,stom'-akh-os,,"From G4750; an <i>orifice</i>  (the <i>gullet</i>), that is, (specifically) the "" stomach"" : - stomach."
13504,G4752,&#963;&#964;&#961;&#945;&#964;&#949;&#953;&#769;&#945;,strateia,strat-i'-ah,,"From G4754; military <i>service</i>, that is, (figuratively) the apostolic <i>career</i>  (as one of hardship and danger): - warfare."
13505,G4753,&#963;&#964;&#961;&#945;&#769;&#964;&#949;&#965;&#956;&#945;,strateuma,strat'-yoo-mah,,"From G4754; an <i>armament</i>, that is, (by implication) a body of <i>troops</i>  (more or less extensive or systematic): - army, soldier, man of war."
13506,G4754,&#963;&#964;&#961;&#945;&#964;&#949;&#965;&#769;&#959;&#956;&#945;&#953;,strateuomai,strat-yoo'-om-ahee,,"Middle voice from the base of G4756; to <i>serve</i>  in a military campaign; figuratively to <i>execute the apostolate</i>  (with its arduous duties and functions), to <i>contend</i>  with carnal inclinations: - soldier, (go to) war (-fare)."
13507,G4755,&#963;&#964;&#961;&#945;&#964;&#951;&#947;&#959;&#769;&#962;,strate&#772;gos,strat-ay-gos',,"From the base of G4756 and G71 or G2233; a <i>general</i>, that is, (by implication or analogy) a (military) <i>governor</i>  (<i>praetor</i>), the <i>chief</i>  (<i>praefect</i>) of the (Levitical) temple wardens: - captain, magistrate."
13508,G4756,&#963;&#964;&#961;&#945;&#964;&#953;&#769;&#945;,stratia,strat-ee'-ah,,"Feminine of a derivative of &#963;&#964;&#961;&#945;&#964;&#959;&#769;&#962; stratos (an <i>army</i> ; from the base of G4766, as <i>encamped</i>); <i>camp likeness</i>, that is, an <i>army</i>, that is, (figuratively) the <i>angels</i>, the celestial <i>luminaries:</i>  - host."
13509,G4757,&#963;&#964;&#961;&#945;&#964;&#953;&#969;&#769;&#964;&#951;&#962;,stratio&#772;te&#772;s,strat-ee-o'-tace,,"From a presumed derivative of the same as G4756; a <i>camperout</i>, that is, a (common) <i>warrior</i>  (literally or figuratively): - soldier."
13510,G4758,&#963;&#964;&#961;&#945;&#964;&#959;&#955;&#959;&#947;&#949;&#769;&#969;,stratologeo&#772;,strat-ol-og-eh'-o,,"From a compound of the base of G4756 and G3004 (in its original sense); to <i>gather</i>  (or <i>select</i>) as a <i>warrior</i>, that is, <i>enlist</i>  in the army: - choose to be a soldier."
13511,G4759,&#963;&#964;&#961;&#945;&#964;&#959;&#960;&#949;&#948;&#945;&#769;&#961;&#967;&#951;&#962;,stratopedarche&#772;s,strat-op-ed-ar'-khace,,"From G4760 and G757; a <i>ruler of an army</i>, that is, (specifically) a Praetorian <i>praefect:</i>  - captain of the guard."
13512,G4760,&#963;&#964;&#961;&#945;&#964;&#959;&#769;&#960;&#949;&#948;&#959;&#957;,stratopedon,strat-op'-ed-on,,"From the base of G4756 and the same as G3977; a <i>camping ground</i>, that is, (by implication) a body of <i>troops:</i>  - army."
13513,G4761,&#963;&#964;&#961;&#949;&#946;&#955;&#959;&#769;&#969;,strebloo&#772;,streb-lo'-o,,"From a derivative of G4762; to <i>wrench</i>, that is, (specifically) to <i>torture</i>  (by the rack), but only figuratively to <i>pervert:</i>  - wrest."
13514,G4762,&#963;&#964;&#961;&#949;&#769;&#966;&#969;,strepho&#772;,stref'-o,,"Strengthened from the base of G5157; to <i>twist</i>, that is, <i>turn</i>  quite around or <i>reverse</i>  (literally or figuratively): - convert, turn (again, back again, self, self about)."
13515,G4763,&#963;&#964;&#961;&#951;&#957;&#953;&#945;&#769;&#969;,stre&#772;niao&#772;,stray-nee-ah'-o,,From a presumed derivative of G4764; to <i>be luxurious:</i>  - live deliciously.
13516,G4764,&#963;&#964;&#961;&#951;&#834;&#957;&#959;&#962;,stre&#772;nos,stray'-nos,,"Akin to G4731; a "" straining"", "" strenuousness""  or "" strength"", that is, (figuratively) <i>luxury</i>  (<i>voluptuousness</i>): - delicacy."
13517,G4765,&#963;&#964;&#961;&#959;&#965;&#952;&#953;&#769;&#959;&#957;,strouthion,stroo-thee'-on,,Diminutive of &#963;&#964;&#961;&#959;&#965;&#952;&#959;&#769;&#962; strouthos (a <i>sparrow</i>); a <i>little sparrow:</i>  - sparrow.
13518,G4766,&#963;&#964;&#961;&#969;&#769;&#957;&#957;&#965;&#956;&#953;,stro&#772;nnumi,strone'-noo-mee,,"Or a simpler form &#963;&#964;&#961;&#969;&#957;&#957;&#965;&#769;&#969; stro&#772;nnuo&#772; <i>strone'-noo'-o</i>, prolonged from a still simpler form &#963;&#964;&#961;&#959;&#769;&#969; stroo&#772; <i>stro'-o</i>  (used only as an alternate in certain tenses; probably akin to G4731 through the idea of <i>positing</i>); to "" strew"", that is, <i>spread</i>  (as a carpet or couch): - make bed, furnish, spread, strew."
13519,G4767,&#963;&#964;&#965;&#947;&#957;&#951;&#964;&#959;&#769;&#962;,stugne&#772;tos,stoog-nay-tos',,"From a derivative of an obsolete, apparently primary, word &#963;&#964;&#965;&#769;&#947;&#969; stugo&#772; (to <i>hate</i>); <i>hated</i>, that is, <i>odious:</i>  - hateful."
13520,G4768,&#963;&#964;&#965;&#947;&#957;&#945;&#769;&#950;&#969;,stugnazo&#772;,stoog-nad'-zo,,"From the same as G4767; to <i>render gloomy</i>, that is, (by implication) <i>glower</i>  (<i>be overcast</i>  with clouds, or <i>sombreness</i>  of speech): - lower, be sad."
13521,G4769,&#963;&#964;&#965;&#769;&#955;&#959;&#962;,stulos,stoo'-los,,"From &#963;&#964;&#965;&#769;&#969; stuo&#772; (to <i>stiffen</i> ; properly akin to the base of G2476); a <i>post</i>  ("" style"" ), that is, (figuratively) <i>support:</i>  - pillar."
13522,G4770,&#931;&#964;&#969;&#953;&#836;&#954;&#959;&#769;&#962;,Sto&#772;ikos,sto-ik-os',,"From G4745; a "" stoic""  (as occupying a particular porch in Athens), that is, adherent of a certain philosophy: - Stoick."
13523,G4771,&#963;&#965;&#769;,su,soo,,"The personal pronoun of the second person singular; <i>thou</i> : - thou. See also G4571, G4671, G4675; and for the plur. G5209, G5210, G5213, G5216."
13524,G4772,&#963;&#965;&#947;&#947;&#949;&#769;&#957;&#949;&#953;&#945;,suggeneia,soong-ghen'-i-ah,,"From G4773; <i>relationship</i>, that is, (concretely) <i>relatives:</i>  - kindred."
13525,G4773,&#963;&#965;&#947;&#947;&#949;&#957;&#951;&#769;&#962;,suggene&#772;s,soong-ghen-ace',,"From G4862 and G1085; a <i>relative</i>  (by blood); by extension a fellow <i>countryman:</i>  - cousin, kin (-sfolk, -sman)."
13526,G4774,&#963;&#965;&#947;&#947;&#957;&#969;&#769;&#956;&#951;,suggno&#772;me&#772;,soong-gno'-may,,"From a compound of G4862 and G1097; <i>fellow knowledge</i>, that is, <i>concession:</i>  - permission."
13527,G4775,&#963;&#965;&#947;&#954;&#945;&#769;&#952;&#951;&#956;&#945;&#953;,sugkathe&#772;mai,soong-kath'-ay-mahee,,From G4862 and G2521; to <i>seat oneself</i>  in company <i>with:</i>  - sit with.
13528,G4776,&#963;&#965;&#947;&#954;&#945;&#952;&#953;&#769;&#950;&#969;,sugkathizo&#772;,soong-kath-id'-zo,,From G4862 and G2523; to <i>give</i>  (or <i>take</i>) <i>a seat</i>  in company <i>with:</i>  - (make) sit (down) together.
13529,G4777,&#963;&#965;&#947;&#954;&#945;&#954;&#959;&#960;&#945;&#952;&#949;&#769;&#969;,sugkakopatheo&#772;,soong-kak-op-ath-eh'-o,,From G4862 and G2553; to <i>suffer hardship</i>  in company <i>with:</i>  - be partaker of afflictions.
13530,G4778,&#963;&#965;&#947;&#954;&#945;&#954;&#959;&#965;&#967;&#949;&#769;&#969;,sugkakoucheo&#772;,soong-kak-oo-kheh'-o,,"From G4862 and G2558; to <i>maltreat</i>  in company <i>with</i>, that is, (passively) <i>endure persecution together:</i>  - suffer affliction with."
13531,G4779,&#963;&#965;&#947;&#954;&#945;&#955;&#949;&#769;&#969;,sugkaleo&#772;,soong-kal-eh'-o,,From G4862 and G2564; to <i>convoke:</i>  - call together.
13532,G4780,&#963;&#965;&#947;&#954;&#945;&#955;&#965;&#769;&#960;&#964;&#969;,sugkalupto&#772;,soong-kal-oop'-to,,From G4862 and G2572; to <i>conceal altogether:</i>  - cover.
13533,G4781,&#963;&#965;&#947;&#954;&#945;&#769;&#956;&#960;&#964;&#969;,sugkampto&#772;,soong-kamp'-to,,"From G4862 and G2578; to <i>bend together</i>, that is, (figuratively) to <i>afflict:</i>  - bow down."
13534,G4782,&#963;&#965;&#947;&#954;&#945;&#964;&#945;&#946;&#945;&#953;&#769;&#957;&#969;,sugkatabaino&#772;,soong-kat-ab-ah'ee-no,,From G4862 and G2597; to <i>descend</i>  in company <i>with:</i>  - go down with.
13535,G4783,&#963;&#965;&#947;&#954;&#945;&#964;&#945;&#769;&#952;&#949;&#963;&#953;&#962;,sugkatathesis,soong-kat-ath'-es-is,,"From G4784; a <i>deposition</i>  (of sentiment) in company <i>with</i>, that is, (figuratively) <i>accord</i>  with: - agreement."
13536,G4784,&#963;&#965;&#947;&#954;&#945;&#964;&#945;&#964;&#953;&#769;&#952;&#949;&#956;&#945;&#953;,sugkatatithemai,soong-kat-at-ith'-em-ahee,,"Middle voice from G4862 and G2698; to <i>deposit</i>  (one's vote or opinion) in company <i>with</i>, that is, (figuratively) to <i>accord</i>  with: - consent."
13537,G4785,&#963;&#965;&#947;&#954;&#945;&#964;&#945;&#968;&#951;&#966;&#953;&#769;&#950;&#969;,sugkatapse&#772;phizo&#772;,soong-kat-aps-ay-fid'-zo,,"From G4862 and a compound of G2596 and G5585; to <i>count down</i>  in company <i>with</i>, that is, <i>enroll among:</i>  - number with."
13538,G4786,&#963;&#965;&#947;&#954;&#949;&#961;&#945;&#769;&#957;&#957;&#965;&#956;&#953;,sugkerannumi,soong-ker-an'-noo-mee,,"From G4862 and G2767; to <i>commingle</i>, that is, (figuratively) to <i>combine</i>  or <i>assimilate:</i>  - mix with, temper together."
13539,G4787,&#963;&#965;&#947;&#954;&#953;&#957;&#949;&#769;&#969;,sugkineo&#772;,soong-kin-eh'-o,,"From G4682 and G2795; to <i>move together</i>, that is, (specifically) to <i>excite</i>  as a mass (to sedition): - stir up."
13540,G4788,&#963;&#965;&#947;&#954;&#955;&#949;&#953;&#769;&#969;,sugkleio&#772;,soong-kli'-o,,"From G4862 and G2808; to <i>shut together</i>, that is, <i>include</i>  or (figuratively) <i>embrace</i>  in a common subjection to: - conclude, inclose, shut up."
13541,G4789,&#963;&#965;&#947;&#954;&#955;&#951;&#961;&#959;&#957;&#959;&#769;&#956;&#959;&#962;,sugkle&#772;ronomos,soong-klay-ron-om'-os,,"From G4862 and G2818; a <i>co-heir</i>, that is, (by analogy) <i>participant in common:</i>  - fellow (joint) -heir, heir together, heir with."
13542,G4790,&#963;&#965;&#947;&#954;&#959;&#953;&#957;&#969;&#957;&#949;&#769;&#969;,sugkoino&#772;neo&#772;,soong-koy-no-neh'-o,,"From G4862 and G2841; to <i>share</i>  in company <i>with</i>, that is, <i>co-participate</i>  in: - communicate (have fellowship) with, be partaker of."
13543,G4791,&#963;&#965;&#947;&#954;&#959;&#953;&#957;&#969;&#957;&#959;&#769;&#962;,sugkoino&#772;nos,soong-koy-no-nos',,"From G4862 and G2844; a <i>co-participant:</i>  - companion, partake (-r, -r with)."
13544,G4792,&#963;&#965;&#947;&#954;&#959;&#956;&#953;&#769;&#950;&#969;,sugkomizo&#772;,soong-kom-id'-zo,,"From G4862 and G2865; to <i>convey together</i>, that is, <i>collect</i>  or <i>bear</i>  away in company <i>with</i>  others: - carry."
13545,G4793,&#963;&#965;&#947;&#954;&#961;&#953;&#769;&#957;&#969;,sugkrino&#772;,soong-kree'-no,,"From G4862 and G2919; to <i>judge</i>  of one thing in connection <i>with</i>  another, that is, <i>combine</i>  (spiritual ideas with appropriate expressions) or <i>collate</i>  (one person with another by way of contrast or resemblance): - compare among (with)."
13546,G4794,&#963;&#965;&#947;&#954;&#965;&#769;&#960;&#964;&#969;,sugkupto&#772;,soong-koop'-to,,"From G4862 and G2955; to <i>stoop altogether</i>, that is, <i>be completely overcome</i>  by: - bow together."
13547,G4795,&#963;&#965;&#947;&#954;&#965;&#961;&#953;&#769;&#945;,sugkuria,soong-koo-ree'-ah,,"From a compound of G4862 and &#954;&#965;&#961;&#949;&#769;&#969; kureo&#772; (to <i>light</i>  or <i>happen</i> ; from the base of G2962); <i>concurrence</i>, that is, <i>accident:</i>  - chance."
13548,G4796,&#963;&#965;&#947;&#967;&#945;&#953;&#769;&#961;&#969;,sugchairo&#772;,soong-khah'ee-ro,,"From G4862 and G5463; to <i>sympathize in gladness, congratulate:</i>  - rejoice in (with)."
13549,G4797,&#963;&#965;&#947;&#967;&#949;&#769;&#969;,sugcheo&#772;,soong-kheh'-o,,</i> Or &#963;&#965;&#947;&#967;&#965;&#769;&#957;&#969; sugchuno&#772; <i>soong-khoo'-no
13550,G4798,&#963;&#965;&#947;&#967;&#961;&#945;&#769;&#959;&#956;&#945;&#953;,sugchraomai,soong-khrah'-om-ahee,,"From G4862 and G5530; to <i>use jointly</i>, that is, (by implication) to <i>hold intercourse in common:</i>  - have dealings with."
13551,G4799,&#963;&#965;&#769;&#947;&#967;&#965;&#963;&#953;&#962;,sugchusis,soong'-khoo-sis,,"From G4797; <i>commixture</i>, that is, (figuratively) riotous <i>disturbance:</i>  - confusion."
13552,G4800,&#963;&#965;&#950;&#945;&#769;&#969;,suzao&#772;,sood-zah'-o,,"From G4862 and G2198; to continue to <i>live</i>  in common <i>with</i>, that is, <i>co-survive</i>  (literally or figuratively): - live with."
13553,G4801,&#963;&#965;&#950;&#949;&#965;&#769;&#947;&#957;&#965;&#956;&#953;,suzeugnumi,sood-zyoog'-noo-mee,,"From G4862 and the base of G2201; to <i>yoke together</i>, that is, (figuratively) <i>conjoin</i>  (in marriage): - join together."
13554,G4802,&#963;&#965;&#950;&#951;&#964;&#949;&#769;&#969;,suze&#772;teo&#772;,sood-zay-teh'-o,,"From G4862 and G2212; to investigate <i>jointly</i>, that is, <i>discuss, controvert, cavil:</i>  - dispute (with), enquire, question (with), reason (together)."
13555,G4803,&#963;&#965;&#950;&#951;&#769;&#964;&#951;&#963;&#953;&#962;,suze&#772;te&#772;sis,sood-zay'-tay-sis,,"From G4802; <i>mutual questioning</i>, that is, <i>discussion:</i>  - disputation (-ting), reasoning."
13556,G4804,&#963;&#965;&#950;&#951;&#964;&#951;&#964;&#951;&#769;&#962;,suze&#772;te&#772;te&#772;s,sood-zay-tay-tace',,"From G4802; a <i>disputant</i>, that is, <i>sophist:</i>  - disputer."
13557,G4805,&#963;&#965;&#769;&#950;&#965;&#947;&#959;&#962;,suzugos,sood'-zoo-gos,,"From G4801; <i>co-yoked</i>, that is, (figuratively) as noun, a <i>colleague</i> ; probably rather as proper name; <i>Syzygus</i>, a Christian: - yokefellow."
13558,G4806,&#963;&#965;&#950;&#969;&#959;&#960;&#959;&#953;&#949;&#769;&#969;,suzo&#772;opoieo&#772;,sood-zo-op-oy-eh'-o,,From G4862 and G2227; to <i>reanimate conjointly</i>  with (figuratively): - quicken together with.
13559,G4807,&#963;&#965;&#954;&#945;&#769;&#956;&#953;&#957;&#959;&#962;,sukaminos,soo-kam'-ee-nos,,Of Hebrew origin [H8256] in imitation of G4809; a <i>sycamore</i>  or fig tree: - sycamine tree.
13560,G4808,&#963;&#965;&#954;&#951;&#834;,suke&#772;,soo-kay',,From G4810; a <i>fig tree:</i>  - fig tree.
13561,G4809,&#963;&#965;&#954;&#959;&#956;&#969;&#961;&#945;&#953;&#769;&#945;,sukomo&#772;raia,soo-kom-o-rah'-yah,,"From G4810 and &#956;&#959;&#769;&#961;&#959;&#957; moron (the <i>mulberry</i>); the "" sycamore""  or fig tree: - sycamore tree. Compare G4807."
13562,G4810,&#963;&#965;&#834;&#954;&#959;&#957;,sukon,soo'-kon,,Apparently a primary word; a <i>fig:</i>  - fig.
13563,G4811,&#963;&#965;&#954;&#959;&#966;&#945;&#957;&#964;&#949;&#769;&#969;,sukophanteo&#772;,soo-kof-an-teh'-o,,"From a compound of G4810 and a derivative of G5316; to <i>be a fig informer</i>  (reporter of the law forbidding the exportation of figs from Greece), "" sycopant"", that is, (generally and by extension) to <i>defraud</i>  (<i>exact</i>  unlawfully, <i>extort</i>): - accuse falsely, take by false accusation."
13564,G4812,&#963;&#965;&#955;&#945;&#947;&#969;&#947;&#949;&#769;&#969;,sulago&#772;geo&#772;,soo-lag-ogue-eh'-o,,"From the base of G4813 and (the reduplicated form of) G71; to <i>lead</i>  away as <i>booty</i>, that is, (figuratively) <i>seduce:</i>  - spoil."
13565,G4813,&#963;&#965;&#955;&#945;&#769;&#969;,sulao&#772;,soo-lah'-o,,From a derivative of &#963;&#965;&#769;&#955;&#955;&#969; sullo&#772;&#772; (to <i>strip</i> ; probably akin to G138; compare G4661); to <i>despoil:</i>  - rob.
13566,G4814,&#963;&#965;&#955;&#955;&#945;&#955;&#949;&#769;&#969;,sullaleo&#772;,sool-lal-eh'-o,,"From G4862 and G2980; to <i>talk together</i>, that is, <i>converse:</i>  - commune (confer, talk) with, speak among."
13567,G4815,&#963;&#965;&#955;&#955;&#945;&#956;&#946;&#945;&#769;&#957;&#969;,sullambano&#772;,sool-lam-ban'-o,,"From G4862 and G2983; to <i>clasp</i>, that is, <i>seize</i>  (<i>arrest, capture</i>); specifically to <i>conceive</i>  (literally or figuratively); by implication to <i>aid:</i>  - catch, conceive, help, take."
13568,G4816,&#963;&#965;&#955;&#955;&#949;&#769;&#947;&#969;,sullego&#772;,sool-leg'-o,,"From G4862 and G3004 in its original sense; to <i>collect:</i>  - gather (together, up)."
13569,G4817,&#963;&#965;&#955;&#955;&#959;&#947;&#953;&#769;&#950;&#959;&#956;&#945;&#953;,sullogizomai,sool-log-id'-zom-ahee,,"From G4862 and G3049; to <i>reckon together</i>  (with oneself), that is, <i>deliberate:</i>  - reason with."
13570,G4818,&#963;&#965;&#955;&#955;&#965;&#960;&#949;&#769;&#969;,sullupeo&#772;,sool-loop-eh'-o,,"From G4862 and G3076; to <i>afflict jointly</i>, that is, (passively) <i>sorrow at</i>  (on account of) some one: - be grieved."
13571,G4819,&#963;&#965;&#956;&#946;&#945;&#953;&#769;&#957;&#969;,sumbaino&#772;,soom-bah'ee-no,,"From G4862 and the base of G939; to <i>walk</i>  (figuratively <i>transpire</i>) <i>together</i>, that is, <i>concur</i>  (<i>take place</i>): - be (-fall), happen (unto)."
13572,G4820,&#963;&#965;&#956;&#946;&#945;&#769;&#955;&#955;&#969;,sumballo&#772;,soom-bal'-lo,,"From G4862 and G906; to <i>combine</i>, that is, (in speaking) to <i>converse, consult, dispute</i>, (mentally) to <i>consider</i>, (by implication) to <i>aid</i>, (personally) to <i>join, attack:</i>  - confer, encounter, help, make, meet with, ponder."
13573,G4821,&#963;&#965;&#956;&#946;&#945;&#963;&#953;&#955;&#949;&#965;&#769;&#969;,sumbasileuo&#772;,soom-bas-il-yoo'-o,,From G4862 and G936; to <i>be co-regent</i>  (figuratively): - reign with.
13574,G4822,&#963;&#965;&#956;&#946;&#953;&#946;&#945;&#769;&#950;&#969;,sumbibazo&#772;,soom-bib-ad'-zo,,"From G4862 and &#946;&#953;&#946;&#945;&#769;&#950;&#969; bibazo&#772; (to <i>force</i> ; causatively [by reduplication] of the base of G939); to <i>drive together</i>, that is, <i>unite</i>  (in association or affection), (mentally) to <i>infer, show, teach:</i>  - compact, assuredly, gather, instruct, knit together, prove."
13575,G4823,&#963;&#965;&#956;&#946;&#959;&#965;&#955;&#949;&#965;&#769;&#969;,sumbouleuo&#772;,soom-bool-yoo'-o,,"From G4862 and G1011; to <i>give</i>  (or <i>take</i>) <i>advice jointly</i>, that is, <i>recommend, deliberate</i>  or <i>determine:</i>  - consult, (give, take) counsel (together)."
13576,G4824,&#963;&#965;&#956;&#946;&#959;&#965;&#769;&#955;&#953;&#959;&#957;,sumboulion,soom-boo'-lee-on,,"Neuter of a presumed derivative of G4825; <i>advisement</i> ; specifically a <i>deliberative</i>  body, that is, the provincial <i>assessors</i>  or lay court: - consultation, counsel, council."
13577,G4825,&#963;&#965;&#769;&#956;&#946;&#959;&#965;&#955;&#959;&#962;,sumboulos,soom'-boo-los,,"From G4862 and G1012; a <i>consultor</i>, that is, <i>adviser:</i>  - counsellor."
13578,G4826,&#931;&#965;&#956;&#949;&#969;&#769;&#957;,Sumeo&#772;n,soom-eh-one',,"From the same as G4613; <i>Symeon</i>  (that is, <i>Shimon</i>), the name of five Israelites: - Simeon, Simon."
